"timezone";"gmt";"title_en";"title_ru"
"Europe/Amsterdam";"GMT+01:00";"Bern";"Берн"
"Europe/Rome";"GMT+01:00";"Rome";"Рим"
"Europe/Stockholm";"GMT+01:00";"Stockholm";"Стокгольм"
"Europe/Vienna";"GMT+01:00";"Vienna";"Вена"
"Europe/Minsk";"GMT+02:00";"Minsk";"Минск"
"Africa/Cairo";"GMT+02:00";"Cairo";"Каир"
"Europe/Helsinki";"GMT+02:00";"Helsinki";"Хельсинки"
"Europe/Riga";"GMT+02:00";"Riga";"Рига"
"Europe/Sofia";"GMT+02:00";"Sofia";"София"
"Europe/Tallinn";"GMT+02:00";"Tallinn";"Таллин"
"Europe/Vilnius";"GMT+02:00";"Vilnius";"Вильнюс"
"Europe/Kiev";"GMT+02:00";"Kiev";"Киев"
"Europe/Athens";"GMT+02:00";"Athens";"Афины"
"Europe/Bucharest";"GMT+02:00";"Bucharest";"Бухарест"
"Europe/Istanbul";"GMT+02:00";"Istanbul";"Стамбул"
"Asia/Jerusalem";"GMT+02:00";"Jerusalem";"Иерусалим"
"Asia/Amman";"GMT+02:00";"Amman";"Амман"
"Asia/Beirut";"GMT+02:00";"Beirut";"Бейрут"
"Africa/Windhoek";"GMT+02:00";"Windhoek";"Виндхук"
"Africa/Harare";"GMT+02:00";"Harare, Pretoria";"Хараре, Притория"
"Asia/Kuwait";"GMT+03:00";"Kuwait";"Кувейт"
"Asia/Riyadh";"GMT+03:00";"Riyadh";"Эр-Рияд"
"Asia/Baghdad";"GMT+03:00";"Baghdad";"Багдад"
"Africa/Nairobi";"GMT+03:00";"Nairobi";"Найроби"
"Europe/Moscow";"GMT+03:00";"Moscow, St. Petersburg";"Москва, Санкт-Петербург"
"Europe/Volgograd";"GMT+03:00";"Volgograd";"Волгоград"
"Asia/Tehran";"GMT+03:30";"Tehran";"Тегеранское время"
"Asia/Muscat";"GMT+04:00";"Muscat, Abu Dhabi";"Маскат, Абу-Даби"
"Asia/Baku";"GMT+04:00";"Baku";"Баку"
"Asia/Yerevan";"GMT+04:00";"Yerevan";"Ереван"
"Asia/Tbilisi";"GMT+04:00";"Tbilisi";"Тбилиси"
"Asia/Kabul";"GMT+04:30";"Kabul";"Кабул"
"Asia/Yekaterinburg";"GMT+05:00";"Ekaterinburg";"Екатеринбургское время"
"Asia/Karachi";"GMT+05:00";"Karachi, Islamabad";"Карачи, Исламабад"
"Asia/Tashkent";"GMT+05:00";"Tashkent";"Ташкент"
"Asia/Kolkata";"GMT+05:30";"Mumbai";"Бомбей"
"Asia/Kolkata";"GMT+05:30";"Calcutta";"Калькутта"
"Asia/Kolkata";"GMT+05:30";"New Delhi";"Нью-Дели"
"Asia/Colombo";"GMT+05:30";"Sri Jayawardenepura";"Шри-Джаяварденепура"
"Asia/Katmandu";"GMT+05:45";"Kathmandu";"Катманду"
"Asia/Almaty";"GMT+06:00";"Astana";"Астана"
"Asia/Dhaka";"GMT+06:00";"Dhaka";"Дакка"
"Asia/Almaty";"GMT+06:00";"Almaty";"Алма-Ата, Алматы"
"Asia/Novosibirsk";"GMT+06:00";"Novosibirsk";"Новосибирск"
"Asia/Rangoon";"GMT+06:30";"Yangon (Rangoon)";"Янгон (Рангун)"
"Asia/Krasnoyarsk";"GMT+07:00";"Krasnoyarsk";"Красноярское время"
"Asia/Bangkok";"GMT+07:00";"Bangkok";"Бангкок"
"Asia/Jakarta";"GMT+07:00";"Jakarta";"Джакарта"
"Asia/Bangkok";"GMT+07:00";"Hanoi";"Ханой"
"Asia/Brunei";"GMT+08:00";"Beijing";"Пекин"
"Asia/Chongqing";"GMT+08:00";"Chongqing";"Чунцин"
"Asia/Hong_Kong";"GMT+08:00";"Hong Kong";"Гонконг"
"Asia/Urumqi";"GMT+08:00";"Urumqi";"Урумчи"
"Asia/Irkutsk";"GMT+08:00";"Irkutsk";"Иркутское время"
"Asia/Ulaanbaatar";"GMT+08:00";"Ulaan Bataar";"Улан-Батор"
"Asia/Kuala_Lumpur";"GMT+08:00";"Kuala Lumpur";"Куала-Лумпур"
"Asia/Singapore";"GMT+08:00";"Singapore";"Сингапур"
"Asia/Taipei";"GMT+08:00";"Taipei";"Тайбэй"
"Australia/Perth";"GMT+08:00";"Perth";"Перт"
"Asia/Seoul";"GMT+09:00";"Seoul";"Сеул"
"Asia/Tokyo";"GMT+09:00";"Tokyo, Osaka, Sapporo";"Токио, Осака, Саппоро"
"Asia/Yakutsk";"GMT+09:00";"Yakutsk";"Якутское время"
"Australia/Darwin";"GMT+09:30";"Darwin";"Дарвин"
"Australia/Adelaide";"GMT+09:30";"Adelaide";"Аделаида"
"Australia/Canberra";"GMT+10:00";"Canberra";"Канберра"
"Australia/Melbourne";"GMT+10:00";"Melbourne";"Мельбурн"
"Australia/Sydney";"GMT+10:00";"Sydney";"Сидней"
"Australia/Brisbane";"GMT+10:00";"Brisbane";"Брисбен"
"Australia/Hobart";"GMT+10:00";"Hobart";"Хобарт"
"Asia/Vladivostok";"GMT+10:00";"Vladivostok";"Владивосток"
"Pacific/Guam";"GMT+10:00";"Guam";"Гуам"
"Pacific/Port_Moresby";"GMT+10:00";"Port Moresby";"Порт-Морсби"
"Asia/Magadan";"GMT+11:00";"Magadan";"Магаданское время"
"Asia/Magadan";"GMT+11:00";"Solomon Is., New Caledonia";"Соломоновы о-ва, Нов. Каледония"
"Etc/GMT+12";"GMT+12:00";"Marshall Is.";"Маршалловы Острова"
"Pacific/Fiji";"GMT+12:00";"Fiji";"Фиджи"
"Asia/Kamchatka";"GMT+12:00";"Kamchatka";"Камчатка"
"Pacific/Auckland";"GMT+12:00";"Auckland, Wellington";"Окленд, Веллингтон"
"Pacific/Tongatapu";"GMT+13:00";"Nukualofa";"Нукуалофа"
